Order,Test-Times,Load-Time,Cal-Time,
1,0,0.0000000673,0.013964309,
2,0,0.0000002424,0.013964336,
3,0,0.0000002424,0.013964336,
4,0,0.0000005657,0.013964363,
5,0,0.0000005657,0.013964363,
6,0,0.0000010774,0.013964390,
7,0,0.0000010774,0.013964390,
8,0,0.0000018182,0.013964417,
9,0,0.0000018182,0.013964417,
10,0,0.0000028283,0.013964444,
11,0,0.0000028283,0.013964444,
12,0,0.0000041481,0.013964471,
13,0,0.0000041481,0.013964471,
14,0,0.0000058182,0.013964498,
15,0,0.0000058182,0.013964498,
16,0,0.0000078788,0.013964525,
17,0,0.0000078788,0.013964525,
18,0,0.0000103704,0.013964552,
19,0,0.0000103704,0.013964552,
20,0,0.0000133333,0.013964579,
