Order,Test-Times,Load-Time,Cal-Time,
1,0,2.0265579223632812e-05,48.65109920501709,
2,0,2.002716064453125e-05,91.944340467453,
3,0,2.1457672119140625e-05,151.6487684249878,
4,0,1.9788742065429688e-05,231.1765341758728,
5,0,2.1219253540039062e-05,339.46285128593445,
6,0,1.9073486328125e-05,466.4582223892212,
7,0,2.1219253540039062e-05,618.2672584056854,
8,0,2.2172927856445312e-05,792.2225499153137,
9,0,2.2411346435546875e-05,1016.4576346874237,
10,0,2.002716064453125e-05,1251.601446390152,
11,0,2.1457672119140625e-05,1559.4779121875763,
12,0,2.0265579223632812e-05,1865.192547082901,
13,0,2.2649765014648438e-05,2223.6347188949585,
14,0,2.1457672119140625e-05,2601.1540138721466,
15,0,2.193450927734375e-05,3025.2605097293854,
16,0,2.2172927856445312e-05,3486.397290468216,
17,0,2.3365020751953125e-05,4032.0274012088776,
18,0,2.288818359375e-05,4580.11772108078,
19,0,2.3126602172851562e-05,5206.575626373291,
20,0,1.71661376953125e-05,5824.071000576019,
